PRODUCT,SOURCE CITY,DESTINATION PINCODE,CITY,STATE,DEST. REGION,ZONE,TAT,PREPAID,COD,REVERSE PICKUP,FORWARD PICKUP,DESTINATION CATEGORY,PUDO SERVICEABLE,B2C_COD_SERVICEABLE
SMART_EXPRESS,NOIDA,110070,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110071,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110072,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110073,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110074,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110075,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110076,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110077,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110078,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110079,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110080,DELHI,DELHI,SOUTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110081,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110082,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110083,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110084,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,N,Y
SMART_EXPRESS,NOIDA,110085,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110086,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110087,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
SMART_EXPRESS,NOIDA,110088,DELHI,DELHI,NORTH DELHI RO,NORTH,1,Y,Y,Y,Y,INCITY,Y,Y
